Bearing_No,Rotational_Velocity ,Radial_Load,Axial_Load,Dynamic_Load_Rating,Satic_Load_Ratimg,Limitng_speed,Shaft_Diameter,Bearing_outside_Diameter,Bearing_Width,MIN_Deformation,MAX_Deformation,AVG_Deformation,Deformation_On_Ball_MIN,Deformation_On_Ball_MAX,Deformation_On_Ball_AVG,MIN_Stress,MAX_Stress,AVG_Stress,Stress_On_Ball_MIN,Stress_On_Ball_MAX,Stress_On_Ball_AVG,Frictional_Stress_MIN,Frictional_Stress_MAX,Frictional_Stress_AVG,MIN_Pressure,MAX_Pressure,AVG_Pressure,,,
6003,7785.7,-212.58,93.916,6000,3250,26000,17,35,10,1.11E-03,0.41901,0.22501,1.11E-03,0.41901,0.22501,2.21E-02,54.71,3.7421,0.14122,28.158,3.3728,0,8.0353,0.34365,0,80.353,3.7374,,,
6003,8110.05,-222.2,97.912,6000,3250,26000,17,35,10,1.12E-03,0.40899,0.21986,1.12E-03,0.40899,0.21986,2.00E-02,51.286,3.5032,0.15345,30.336,3.7029,0,7.5913,0.30875,0,75.913,3.4815,,,
6003,8434.4,-231.81,101.91,6000,3250,26000,17,35,10,1.11E-03,0.41902,0.22499,1.11E-03,0.41902,0.22499,2.20E-02,54.697,3.7418,0.15915,31.091,3.814,0,8.0367,0.3434,0,80.367,3.7361,,,
6003,8758.75,-241.43,105.9,6000,3250,26000,17,35,10,1.12E-03,0.40899,0.21994,1.12E-03,0.40899,0.21994,2.01E-02,51.271,3.5076,0.15326,30.245,3.6802,0,7.6253,0.3091,0,76.253,3.4852,,,
6003,9083.1,-251.05,109.9,6000,3250,26000,17,35,10,1.11E-03,0.41902,0.22502,1.11E-03,0.41902,0.22502,2.20E-02,54.684,3.7442,0.14135,28.058,3.3668,0,8.0477,0.34365,0,80.477,3.7376,,,
6003,9407.45,-260.67,113.9,6000,3250,26000,17,35,10,1.12E-03,0.40902,0.21987,1.12E-03,0.40902,0.21987,2.01E-02,51.207,3.5063,0.15362,30.248,3.6975,0,7.6208,0.30784,0,76.208,3.4827,,,
6003,9731.8,-270.28,117.89,6000,3250,26000,17,35,10,1.11E-03,0.41903,0.22499,1.11E-03,0.41903,0.22499,2.20E-02,54.647,3.7433,0.15929,31.032,3.8107,0,8.0458,0.34335,0,80.458,3.736,,,
6003,10056.15,-279.9,121.89,6000,3250,26000,17,35,10,1.12E-03,0.40901,0.21986,1.12E-03,0.40901,0.21986,2.03E-02,51.19,3.5072,0.15326,30.241,3.6808,0,7.6145,0.30704,0,76.145,3.4822,,,
6003,10380.5,-289.52,125.88,6000,3250,26000,17,35,10,1.11E-03,0.41902,0.22499,1.11E-03,0.41902,0.22499,2.20E-02,54.633,3.7439,0.14132,28.095,3.3698,0,8.043,0.34332,0,80.43,3.7357,,,
6003,10704.85,-299.13,129.88,6000,3250,26000,17,35,10,1.12E-03,0.40902,0.21985,1.12E-03,0.40902,0.21985,2.06E-02,51.175,3.5077,0.15358,30.28,3.6998,0,7.5838,0.30655,0,75.838,3.4813,,,
